,facility_id_API,facility_name_num,facility_type,field_name_num,location,operator_name_num,related_facilities,status
3459,05-123-43882,Wolf Fed                           11O-0212       ,WELL,WILDCAT                       99999,WELD                                123SWSE   11 10N   59W     6 ,WHITING OIL & GAS CORPORATION                     96155, ,XX11/27/2016 
3460,05-123-43883,Wolf Fed                           11O-0211       ,WELL,WILDCAT                       99999,WELD                                123SWSE   11 10N   59W     6 ,WHITING OIL & GAS CORPORATION                     96155, ,XX11/27/2016 
3461,05-123-43884,Wolf Fed                           11O-0243       ,WELL,WILDCAT                       99999,WELD                                123SWSE   11 10N   59W     6 ,WHITING OIL & GAS CORPORATION                     96155, ,XX11/27/2016 
3462,05-123-43885,Wolf Fed                           11O-0210       ,WELL,WILDCAT                       99999,WELD                                123SWSE   11 10N   59W     6 ,WHITING OIL & GAS CORPORATION                     96155, ,XX11/27/2016 
3463,05-123-43886,Wolf Fed                           11O-0209       ,WELL,WILDCAT                       99999,WELD                                123SWSE   11 10N   59W     6 ,WHITING OIL & GAS CORPORATION                     96155, ,XX11/27/2016 
3464,05-123-43887,Wolf Fed                           11O-0242       ,WELL,WILDCAT                       99999,WELD                                123SWSE   11 10N   59W     6 ,WHITING OIL & GAS CORPORATION                     96155, ,XX11/27/2016 
3465,05-123-36998,Wolf Fed                           12G-0144       ,WELL,WILDCAT                       99999,WELD                                123SWNE   12 10N   59W     6 ,WHITING OIL & GAS CORPORATION                     96155, ,XX4/27/2015 
3466,05-123-38414,Wolf                               24M-2404B      ,WELL,WILDCAT                       99999,WELD                                123SWSW   24 10N   59W     6 ,WHITING OIL & GAS CORPORATION                     96155, ,XX11/10/2013 
3467,05-123-34758,Wolf                               36-3614H       ,WELL,WILDCAT                       99999,WELD                                123NWNW   36 10N   59W     6 ,WHITING OIL & GAS CORPORATION                     96155, ,XX11/29/2011 
3468,05-123-44623,Church                             10E-0841       ,WELL,WILDCAT                       99999,WELD                                123SWNW   10 10N   60W     6 ,WHITING OIL & GAS CORPORATION                     96155, ,XX4/25/2017 
3469,05-123-32729,Chalk Bluffs                       36-33M         ,WELL,WILDCAT                       99999,WELD                                123NWSE   36 10N   60W     6 ,WHITING OIL & GAS CORPORATION                     96155, ,XX12/12/2010 
3470,05-123-42202,Carson                             4              ,WELL,WILDCAT                       99999,WELD                                123Lot 4  7  10N   61W     6 ,8 NORTH LLC                                       10575, ,XX9/18/2015 
3471,05-123-42203,Carson                             3              ,WELL,WILDCAT                       99999,WELD                                123Lot 4  7  10N   61W     6 ,8 NORTH LLC                                       10575, ,XX9/18/2015 
3472,05-123-42201,Carson                             1              ,WELL,WILDCAT                       99999,WELD                                123SESE   7  10N   61W     6 ,8 NORTH LLC                                       10575, ,XX9/18/2015 
3473,05-123-42200,Carson                             2              ,WELL,WILDCAT                       99999,WELD                                123SWSE   7  10N   61W     6 ,8 NORTH LLC                                       10575, ,XX9/18/2015 
3474,05-123-43161,SRC Smith                          D-23-26C       ,WELL,WILDCAT                       99999,WELD                                123NESE   23 10N   61W     6 ,SRC ENERGY INC                                    10311, ,XX5/5/2016 
3475,05-123-43162,SRC Smith                          33-23-26C      ,WELL,WILDCAT                       99999,WELD                                123NESE   23 10N   61W     6 ,SRC ENERGY INC                                    10311, ,XX5/5/2016 
3476,05-123-43163,SRC Smith                          43-23-26C      ,WELL,WILDCAT                       99999,WELD                                123NESE   23 10N   61W     6 ,SRC ENERGY INC                                    10311, ,XX5/5/2016 
3477,05-123-43164,SRC Smith                          S-23-26C       ,WELL,WILDCAT                       99999,WELD                                123NESE   23 10N   61W     6 ,SRC ENERGY INC                                    10311, ,XX5/5/2016 
3478,05-123-43165,SRC Smith                          44-23-26C      ,WELL,WILDCAT                       99999,WELD                                123NESE   23 10N   61W     6 ,SRC ENERGY INC                                    10311, ,XX5/5/2016 
3479,05-123-43166,SRC Smith                          34-23-26C      ,WELL,WILDCAT                       99999,WELD                                123NESE   23 10N   61W     6 ,SRC ENERGY INC                                    10311, ,XX5/5/2016 
3480,05-123-40771,NGL                                C9C            ,WELL,WILDCAT                       99999,WELD                                123SWNW   24 10N   61W     6 ,NGL WATER SOLUTIONS DJ LLC                        10373, ,XX11/1/2016 
3481,05-123-34379,Elk creek                          8-03H          ,WELL,WILDCAT                       99999,WELD                                123NWNW   3  10N   62W     6 ,EOG RESOURCES INC                                 27742, ,XX6/5/2014 
3482,05-123-33332,Elk Creek                          10-14H         ,WELL,WILDCAT                       99999,WELD                                123NWNE   14 10N   62W     6 ,EOG RESOURCES INC                                 27742, ,XX6/5/2014 
3483,05-123-33770,Elk Creek                          13-21H         ,WELL,WILDCAT                       99999,WELD                                123SESE   21 10N   62W     6 ,EOG RESOURCES INC                                 27742, ,XX6/5/2014 
3484,05-123-33776,Elk Creek                          16-28H         ,WELL,WILDCAT                       99999,WELD                                123SESW   28 10N   62W     6 ,EOG RESOURCES INC                                 27742, ,XX6/5/2014 
3485,05-123-33463,Geary Creek                        02-03H         ,WELL,WILDCAT                       99999,WELD                                123SESW   3  10N   63W     6 ,EOG RESOURCES INC                                 27742, ,XX6/6/2014 
3486,05-123-33573,Geary Creek                        03-10H         ,WELL,WILDCAT                       99999,WELD                                123NWNW   10 10N   63W     6 ,EOG RESOURCES INC                                 27742, ,XX6/9/2014 
3487,05-123-33574,Geary Creek                        06-10H         ,WELL,WILDCAT                       99999,WELD                                123NWNW   10 10N   63W     6 ,EOG RESOURCES INC                                 27742, ,XX6/9/2014 
3488,05-123-33772,Geary Creek                        17-25H         ,WELL,WILDCAT                       99999,WELD                                123NWNE   25 10N   63W     6 ,EOG RESOURCES INC                                 27742, ,XX6/9/2014 
3489,05-123-34607,WPC Federal                        14-5           ,WELL,PAWNEE PIONEER                67805,WELD                                123NESW   14 10N   64W     6 ,WARD PETROLEUM CORPORATION                        10359, ,XX1/2/2014 
3490,05-123-32091,Pawnee                             10-67-5-1      ,WELL,LAPOUDRE SOUTH                48130,WELD                                123SWSW   5  10N   67W     6 ,RUBICON OIL & GAS LLC                             10303, ,XX8/26/2010 
3491,05-123-42286,Thomas West                        2              ,WELL,WILDCAT                       99999,WELD                                123NENW   16 10N   67W     6 ,8 NORTH LLC                                       10575, ,XX10/16/2015 
3492,05-123-42287,Thomas West                        1              ,WELL,WILDCAT                       99999,WELD                                123NENW   16 10N   67W     6 ,8 NORTH LLC                                       10575, ,XX10/16/2015 
3493,05-123-42288,Thomas East                        2              ,WELL,WILDCAT                       99999,WELD                                123NWNE   16 10N   67W     6 ,8 NORTH LLC                                       10575, ,XX10/16/2015 
3494,05-123-32219,Pawnee                             10-67-21-1     ,WELL,WILDCAT                       99999,WELD                                123SWSW   21 10N   67W     6 ,RUBICON OIL & GAS LLC                             10303, ,XX9/20/2010 
3495,05-123-41756,Retama State 36-11-56              #1             ,WELL,WILDCAT                       99999,WELD                                123NWNW   36 11N   56W     6 ,RETAMCO OPERATING INC                             74290, ,XX6/30/2015 
3496,05-123-33484,Sidney Draw                        6-13H          ,WELL,WILDCAT                       99999,WELD                                123Lot 6  6  11N   57W     6 ,WHITING OIL & GAS CORPORATION                     96155, ,XX5/5/2011 
3497,05-123-33162,Sidney Draw                        6-33M          ,WELL,WILDCAT                       99999,WELD                                123NWSE   6  11N   57W     6 ,WHITING OIL & GAS CORPORATION                     96155, ,XX3/17/2011 
3498,05-123-34894,Twomile                            22-43H         ,WELL,WILDCAT                       99999,WELD                                123NESE   22 11N   57W     6 ,WHITING OIL & GAS CORPORATION                     96155, ,XX12/30/2011 
3499,05-123-39744,O'Hare                             2-32-11-57     ,WELL,WILDCAT                       99999,WELD                                123NWNE   32 11N   57W     6 ,CARRIZO NIOBRARA LLC                              10439, ,XX6/4/2014 
