,Unnamed: 0,facility_id_API,facility_type,location,related_facilities,status,facility_name,facility_num,field_name,field_num,county,coord,operator_name,operator_num
64,64,05-001-10023,WELL,ADAMS                               001SWSE   25 1S    66W     6 , ,2017-04-06,ALMA 1S-66-2524,18NH,WATTENBERG,90750,ADAMS,                           001SWSE   25 1S    66W     6 ,EXTRACTION OIL & GAS INC,10459
65,65,05-001-10024,WELL,ADAMS                               001SWSE   25 1S    66W     6 , ,2017-04-06,ALMA 1S-66-2524,11NH,WATTENBERG,90750,ADAMS,                           001SWSE   25 1S    66W     6 ,EXTRACTION OIL & GAS INC,10459
66,66,05-001-10025,WELL,ADAMS                               001SWSE   25 1S    66W     6 , ,2017-04-06,ALMA 1S-66-2524,13NH,WATTENBERG,90750,ADAMS,                           001SWSE   25 1S    66W     6 ,EXTRACTION OIL & GAS INC,10459
67,67,05-001-10026,WELL,ADAMS                               001SWSE   25 1S    66W     6 , ,2017-04-06,ALMA 1S-66-2524,8NH,WATTENBERG,90750,ADAMS,                           001SWSE   25 1S    66W     6 ,EXTRACTION OIL & GAS INC,10459
68,68,05-001-10027,WELL,ADAMS                               001SWSE   25 1S    66W     6 , ,2017-04-06,ALMA 1S-66-2524,20CDH,WATTENBERG,90750,ADAMS,                           001SWSE   25 1S    66W     6 ,EXTRACTION OIL & GAS INC,10459
69,69,05-001-10028,WELL,ADAMS                               001SWSE   25 1S    66W     6 , ,2017-04-06,ALMA 1S-66-2524,16NH,WATTENBERG,90750,ADAMS,                           001SWSE   25 1S    66W     6 ,EXTRACTION OIL & GAS INC,10459
70,70,05-001-10029,WELL,ADAMS                               001NWSW   29 1S    66W     6 , ,2017-04-22,PC SOUTH 1S-66-2928,13CDH,WATTENBERG,90750,ADAMS,                           001NWSW   29 1S    66W     6 ,EXTRACTION OIL & GAS INC,10459
71,71,05-001-10030,WELL,ADAMS                               001NWSW   29 1S    66W     6 , ,2017-04-22,PC SOUTH 1S-66-2928,18NH,WATTENBERG,90750,ADAMS,                           001NWSW   29 1S    66W     6 ,EXTRACTION OIL & GAS INC,10459
72,72,05-001-10031,WELL,ADAMS                               001NWSW   29 1S    66W     6 , ,2017-04-22,PC NORTH 1S-66-2928,4CDH,WATTENBERG,90750,ADAMS,                           001NWSW   29 1S    66W     6 ,EXTRACTION OIL & GAS INC,10459
73,73,05-001-10032,WELL,ADAMS                               001NWSW   29 1S    66W     6 , ,2017-04-22,PC SOUTH 1S-66-2928,12NH,WATTENBERG,90750,ADAMS,                           001NWSW   29 1S    66W     6 ,EXTRACTION OIL & GAS INC,10459
74,74,05-001-10033,WELL,ADAMS                               001NWSW   29 1S    66W     6 , ,2017-04-22,PC NORTH 1S-66-2928,3NH,WATTENBERG,90750,ADAMS,                           001NWSW   29 1S    66W     6 ,EXTRACTION OIL & GAS INC,10459
75,75,05-001-10034,WELL,ADAMS                               001NWSW   29 1S    66W     6 , ,2017-04-22,PC SOUTH 1S-66-2928,17NH,WATTENBERG,90750,ADAMS,                           001NWSW   29 1S    66W     6 ,EXTRACTION OIL & GAS INC,10459
76,76,05-001-10035,WELL,ADAMS                               001NWSW   29 1S    66W     6 , ,2017-04-22,PC NORTH 1S-66-2928,10CDH,WATTENBERG,90750,ADAMS,                           001NWSW   29 1S    66W     6 ,EXTRACTION OIL & GAS INC,10459
77,77,05-001-10036,WELL,ADAMS                               001NWSW   29 1S    66W     6 , ,2017-04-22,PC NORTH 1S-66-2928,11NH,WATTENBERG,90750,ADAMS,                           001NWSW   29 1S    66W     6 ,EXTRACTION OIL & GAS INC,10459
78,78,05-001-10037,WELL,ADAMS                               001NWSW   29 1S    66W     6 , ,2017-04-22,PC NORTH 1S-66-2928,6NH,WATTENBERG,90750,ADAMS,                           001NWSW   29 1S    66W     6 ,EXTRACTION OIL & GAS INC,10459
79,79,05-001-10038,WELL,ADAMS                               001NWSW   29 1S    66W     6 , ,2017-04-22,PC SOUTH 1S-66-2928,15NH,WATTENBERG,90750,ADAMS,                           001NWSW   29 1S    66W     6 ,EXTRACTION OIL & GAS INC,10459
80,80,05-001-10039,WELL,ADAMS                               001NWSW   29 1S    66W     6 , ,2017-04-22,PC SOUTH 1S-66-2928,20NH,WATTENBERG,90750,ADAMS,                           001NWSW   29 1S    66W     6 ,EXTRACTION OIL & GAS INC,10459
81,81,05-001-10040,WELL,ADAMS                               001NWSW   29 1S    66W     6 , ,2017-04-22,PC NORTH 1S-66-2928,2NH,WATTENBERG,90750,ADAMS,                           001NWSW   29 1S    66W     6 ,EXTRACTION OIL & GAS INC,10459
82,82,05-001-10041,WELL,ADAMS                               001NWSW   29 1S    66W     6 , ,2017-04-22,PC NORTH 1S-66-2928,7CDH,WATTENBERG,90750,ADAMS,                           001NWSW   29 1S    66W     6 ,EXTRACTION OIL & GAS INC,10459
83,83,05-001-10042,WELL,ADAMS                               001NWSW   29 1S    66W     6 , ,2017-04-22,PC SOUTH 1S-66-2928,14NH,WATTENBERG,90750,ADAMS,                           001NWSW   29 1S    66W     6 ,EXTRACTION OIL & GAS INC,10459
84,84,05-001-10043,WELL,ADAMS                               001NWSW   29 1S    66W     6 , ,2017-04-22,PC NORTH 1S-66-2928,9NH,WATTENBERG,90750,ADAMS,                           001NWSW   29 1S    66W     6 ,EXTRACTION OIL & GAS INC,10459
85,85,05-001-10044,WELL,ADAMS                               001NWSW   29 1S    66W     6 , ,2017-04-22,PC SOUTH 1S-66-2928,19CDH,WATTENBERG,90750,ADAMS,                           001NWSW   29 1S    66W     6 ,EXTRACTION OIL & GAS INC,10459
86,86,05-001-10045,WELL,ADAMS                               001NWSW   29 1S    66W     6 , ,2017-04-22,PC NORTH 1S-66-2928,5NH,WATTENBERG,90750,ADAMS,                           001NWSW   29 1S    66W     6 ,EXTRACTION OIL & GAS INC,10459
87,87,05-001-10046,WELL,ADAMS                               001NWSW   29 1S    66W     6 , ,2017-04-22,PC NORTH 1S-66-2928,8NH,WATTENBERG,90750,ADAMS,                           001NWSW   29 1S    66W     6 ,EXTRACTION OIL & GAS INC,10459
88,88,05-001-10047,WELL,ADAMS                               001NWSW   29 1S    66W     6 , ,2017-04-22,PC SOUTH 1S-66-2928,16CDH,WATTENBERG,90750,ADAMS,                           001NWSW   29 1S    66W     6 ,EXTRACTION OIL & GAS INC,10459
89,89,05-001-09791,WELL,ADAMS                               001SWSW   36 1S    66W     6 , ,2015-11-11,State of CO,1-66-36-3340CDH,WATTENBERG,90750,ADAMS,                           001SWSW   36 1S    66W     6 ,HRM RESOURCES II LLC,10548
90,90,05-001-09792,WELL,ADAMS                               001SWSW   36 1S    66W     6 , ,2015-11-11,State of CO,1-66-36-4956CH,WATTENBERG,90750,ADAMS,                           001SWSW   36 1S    66W     6 ,HRM RESOURCES II LLC,10548
91,91,05-001-09793,WELL,ADAMS                               001SWSW   36 1S    66W     6 , ,2015-11-11,State of CO,1-66-36-3340BH,WATTENBERG,90750,ADAMS,                           001SWSW   36 1S    66W     6 ,HRM RESOURCES II LLC,10548
92,92,05-001-09794,WELL,ADAMS                               001SWSW   36 1S    66W     6 , ,2015-11-11,State of CO,1-66-36-4841BH,WATTENBERG,90750,ADAMS,                           001SWSW   36 1S    66W     6 ,HRM RESOURCES II LLC,10548
93,93,05-001-09795,WELL,ADAMS                               001SWSW   36 1S    66W     6 , ,2015-11-11,State of CO,1-66-36-6457CH,WATTENBERG,90750,ADAMS,                           001SWSW   36 1S    66W     6 ,HRM RESOURCES II LLC,10548
94,94,05-001-09796,WELL,ADAMS                               001SWSW   36 1S    66W     6 , ,2015-11-11,State of CO,1-66-36-6457BH,WATTENBERG,90750,ADAMS,                           001SWSW   36 1S    66W     6 ,HRM RESOURCES II LLC,10548
95,95,05-001-09797,WELL,ADAMS                               001SWSW   36 1S    66W     6 , ,2015-11-11,State of CO,1-66-36-4956BH,WATTENBERG,90750,ADAMS,                           001SWSW   36 1S    66W     6 ,HRM RESOURCES II LLC,10548
96,96,05-001-09798,WELL,ADAMS                               001SWSW   36 1S    66W     6 , ,2015-11-11,State of CO,1-66-36-3340CH,WATTENBERG,90750,ADAMS,                           001SWSW   36 1S    66W     6 ,HRM RESOURCES II LLC,10548
97,97,05-001-09799,WELL,ADAMS                               001SWSW   36 1S    66W     6 , ,2015-11-11,State of CO,1-66-36-4841CH,WATTENBERG,90750,ADAMS,                           001SWSW   36 1S    66W     6 ,HRM RESOURCES II LLC,10548
98,98,05-001-09800,WELL,ADAMS                               001SWSW   36 1S    66W     6 , ,2015-11-11,State of CO,1-66-36-4956CDH,WATTENBERG,90750,ADAMS,                           001SWSW   36 1S    66W     6 ,HRM RESOURCES II LLC,10548
99,99,05-001-09956,WELL,ADAMS                               001NWNE   4  1S    67W     6 , ,2016-08-22,Seltzer,#7,WATTENBERG,90750,ADAMS,                           001NWNE   4  1S    67W     6 ,GREAT WESTERN OPERATING COMPANY LLC,10110
100,100,05-001-09957,WELL,ADAMS                               001NWNE   4  1S    67W     6 , ,2016-08-22,Seltzer,#6,WATTENBERG,90750,ADAMS,                           001NWNE   4  1S    67W     6 ,GREAT WESTERN OPERATING COMPANY LLC,10110
101,101,05-001-09958,WELL,ADAMS                               001NWNE   4  1S    67W     6 , ,2016-08-22,Seltzer,#3,WATTENBERG,90750,ADAMS,                           001NWNE   4  1S    67W     6 ,GREAT WESTERN OPERATING COMPANY LLC,10110
102,102,05-001-09959,WELL,ADAMS                               001NWNE   4  1S    67W     6 , ,2016-08-22,Seltzer,#2,WATTENBERG,90750,ADAMS,                           001NWNE   4  1S    67W     6 ,GREAT WESTERN OPERATING COMPANY LLC,10110
103,103,05-001-09960,WELL,ADAMS                               001NWNE   4  1S    67W     6 , ,2016-08-22,Seltzer,#10,WATTENBERG,90750,ADAMS,                           001NWNE   4  1S    67W     6 ,GREAT WESTERN OPERATING COMPANY LLC,10110
104,104,05-001-09961,WELL,ADAMS                               001NWNE   4  1S    67W     6 , ,2016-08-22,Seltzer,#9,WATTENBERG,90750,ADAMS,                           001NWNE   4  1S    67W     6 ,GREAT WESTERN OPERATING COMPANY LLC,10110
105,105,05-001-09962,WELL,ADAMS                               001NWNE   4  1S    67W     6 , ,2016-08-22,Seltzer,#11,WATTENBERG,90750,ADAMS,                           001NWNE   4  1S    67W     6 ,GREAT WESTERN OPERATING COMPANY LLC,10110
106,106,05-001-09963,WELL,ADAMS                               001NWNE   4  1S    67W     6 , ,2016-08-22,Seltzer,#12,WATTENBERG,90750,ADAMS,                           001NWNE   4  1S    67W     6 ,GREAT WESTERN OPERATING COMPANY LLC,10110
107,107,05-001-09964,WELL,ADAMS                               001NWNE   4  1S    67W     6 , ,2016-08-22,Seltzer,#1,WATTENBERG,90750,ADAMS,                           001NWNE   4  1S    67W     6 ,GREAT WESTERN OPERATING COMPANY LLC,10110
108,108,05-001-09965,WELL,ADAMS                               001NWNE   4  1S    67W     6 , ,2016-08-22,Seltzer,#8,WATTENBERG,90750,ADAMS,                           001NWNE   4  1S    67W     6 ,GREAT WESTERN OPERATING COMPANY LLC,10110
109,109,05-001-09966,WELL,ADAMS                               001NWNE   4  1S    67W     6 , ,2016-08-22,Seltzer,#5,WATTENBERG,90750,ADAMS,                           001NWNE   4  1S    67W     6 ,GREAT WESTERN OPERATING COMPANY LLC,10110
110,110,05-001-09967,WELL,ADAMS                               001NWNE   4  1S    67W     6 , ,2016-08-22,Seltzer,#4,WATTENBERG,90750,ADAMS,                           001NWNE   4  1S    67W     6 ,GREAT WESTERN OPERATING COMPANY LLC,10110
